title,totalDamageTaken,minionsKilled,overallPositionChange,assists,banRate,winPercent,neutralMinionsKilledTeamJungle,role,experience,totalDamageDealtToChampions,neutralMinionsKilledEnemyJungle,goldEarned,kills,deaths,largestKillingSpree,playPercent,key,overallPosition,totalHeal
Pantheon,23396,158.2,2,6.85,0.7,52.93,3.68,Top,101.71,22439,1.83,12344,8.4,6.65,3.72,3.74,Pantheon,25,2141
Rammus,33565,41.9,-4,11.91,0.75,51.25,58.09,Jungle,61.67,15250,6.51,11315,4.34,5.37,2.09,2.36,Rammus,31,7784
Shyvana,34443,61.8,5,7.83,0.23,51.29,77,Jungle,47.06,18251,15.95,13180,6.49,5.18,3.32,2.77,Shyvana,10,7830
Olaf,38290,56.7,-1,8.74,0.28,49.78,64.51,Jungle,44.14,18791,10.43,12484,6.79,5.66,3.28,0.68,Olaf,24,9141
Malzahar,18703,58.7,2,9.89,36.31,50.87,61.24,Jungle,20.92,19721,7.41,12040,5.21,5.14,2.49,0.68,Malzahar,26,3738
Poppy,30341,45.7,-2,9.47,0.62,43.62,55.13,Jungle,39.72,16074,7.68,11449,5.27,5.74,2.48,0.43,Poppy,46,5700
Sejuani,37564,47.2,-2,12,0.14,52.09,65.37,Jungle,53.24,15839,8.41,11889,4.9,4.75,2.59,3.61,Sejuani,18,7902
Fiddlesticks,30322,45.5,0,10.05,1.37,52.27,71.44,Jungle,90.79,19051,8.02,12261,6.11,5.88,2.98,3.72,FiddleSticks,9,16545
Kayle,28684,78.9,7,7.68,0.6,51.34,69.54,Jungle,111.46,18073,9.77,12779,6.24,5.68,2.91,0.57,Kayle,30,11657
Wukong,29180,52.1,-4,8.51,0.25,52.54,64.59,Jungle,105.08,18490,8.16,12447,7.36,5.76,3.45,2.85,MonkeyKing,23,7501
Pantheon,26118,49.5,2,8.25,0.7,49.09,51.7,Jungle,81.15,17522,6.37,11882,7.68,6.25,3.48,1.5,Pantheon,44,5653
Shaco,26422,53.5,-3,7.53,1.77,51.04,55.11,Jungle,121.26,19524,12.11,12839,8.46,6.4,3.71,6.06,Shaco,15,5997
Master Yi,30327,66.7,3,5.26,4.21,49.32,73.12,Jungle,89.21,18872,11.74,13409,8.86,6.94,3.75,6,MasterYi,11,7381
Nautilus,28326,43.9,0,11.98,0.68,46.91,53.51,Jungle,40.47,13772,6.24,11010,3.83,5.33,1.87,0.86,Nautilus,45,5399
Zac,39947,43.9,0,12.08,1.15,51.23,64.59,Jungle,59.9,17545,7.82,11906,5.53,4.62,3.02,6.08,Zac,5,30676
Nidalee,31477,45.1,-5,8.31,11.99,48.5,73.03,Jungle,63.56,18198,14.08,12428,6.71,5.5,3.31,7.11,Nidalee,6,15305
Elise,25769,37.9,0,8.74,0.9,49.81,61.13,Jungle,51.15,16805,9.76,11696,6.47,5.51,3.12,7.68,Elise,33,7447
Volibear,40920,43.1,2,9.96,2.87,54.39,59.81,Jungle,50.79,17180,9.76,12214,7.01,5.09,3.6,6.3,Volibear,1,7655
Hecarim,37517,47.9,5,9.31,0.87,53.62,67.23,Jungle,63.06,18240,9.88,12539,7.7,5.52,3.76,6.51,Hecarim,3,12074
